what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.vpe.jsf",1354534481683
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.vpe.myfaces",1354534481683
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.vpe.richfaces",1354534481683
stopped,bundle,org.jboss.tools.jst.css,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.css",1354534481683
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.xml.ui",1354534481693
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.tiles.ui",1354534481693
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.ui.pages",1354534481693
stopped,bundle,org.jboss.tools.seam.xml.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml.ui",1354534481693
stopped,bundle,org.jboss.tools.struts.validator.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.validator.ui",1354534481693
stopped,bundle,org.jboss.tools.struts.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.ui",1354534481693
stopped,bundle,org.jboss.tools.jst.web.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.ui",1354534481693
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.vpe.struts",1354534481693
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.docbook",1354534481693
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1361350646299
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1361350646299
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1361350646299
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1361350646299
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1361350646299
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1361350646299
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1361350646299
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1361350646299
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1361350646299
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1361350646299
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1361350646299
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1361350646299
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1361350646299
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1361350646299
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1361350646299
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1361350646299
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1361350646299
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1361350646315
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1361350646315
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1361350646315
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1361350646315
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1361350646315
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1361350646315
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1361350646315
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1361350646315
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1361350646315
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1361350646315
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1361350646315
